author,comment_text,likes,published_at
Sarah_Code,Your explanation of the project was incredibly clear and well paced! Thank you so much!,245,2026-09-02 10:15
DevJourney,The video was really useful overall but step 3 at 08:45 was a bit too fast. Could you explain the auth flow next time?,112,2026-09-02 11:30
TechEnthusiast,Best tutorial on this topic on YouTube hands down! The visual architecture diagrams made all the difference.,180,2026-09-02 12:05
Elena_R,At minute 14:20 the microphone volume suddenly dropped. Great content as always but please check audio levels!,88,2026-09-02 13:40
AngryViewer,You are an idiot who knows nothing about programming. Delete your channel loser.,2,2026-09-02 14:55
FrontendNinja,Love the clean design and dark mode! Can we get the GitHub repository link for the starter templates?,135,2026-09-02 15:20
CuriousCoder,How do I deploy this to Docker? What would be the performance impact if we have high traffic?,60,2026-09-02 16:00
PythonistaAlex,I was afraid this was going to be overwhelming but your step-by-step breakdown made it feel effortless.,95,2026-09-02 16:45
AudioCritic,The background music was slightly distracting between 04:00 and 07:00 but the coding was top notch.,35,2026-09-02 17:10
TrollAccount,What a piece of garbage trash video. Stupid presenter.,0,2026-09-02 18:00
StudentScholar,This literally saved my final year project submission! My professor was amazed by the sentiment analytics demo.,190,2026-09-02 19:15
FrustratedNewbie,I am so frustrated because I keep getting ModuleNotFoundError on line 12. Which package do I need?,28,2026-09-02 20:30
DataGeek,Would be better if you added a comparison between rule-based VADER and transformer models in a future episode.,110,2026-09-02 21:10
MayaL,I was surprised how fast the analysis ran on large comment batches. Super responsive UI!,78,2026-09-02 22:45
Jordan_K,Honestly one of the rare videos where no time is wasted on self-promotion. Straight to practical knowledge.,165,2026-09-03 00:15
CriticalThinker,The video was informative but 35 minutes is too long for this concept. A concise 15-minute summary would be better.,85,2026-09-03 06:15
